buurtnaam,temp_mean,buurt_area,ndvi_mean,water_prc,road_prc
Gaasperpark,30.00389574,847306.144,0.6216919399,0.002,0.002
Dorp Driemond,33.04887171,350814.999,0.4100944665,0.002,0.054
Anjeliersbuurt Zuid,37.25002792,119627.575,0.307239879,0.001,0.043
,25.74730696,8128541.767,-0.1617919042,0.001,0.005
Gouden Bocht,36.05670593,55540.956,0.3139199595,0.001,0.002
Leidsebuurt Noordoost,38.55856033,61590.514,0.2319236756,0.001,0.921
Afrikahaven,34.68633003,5358742.587,0.3093114128,0.001,0.002
Wielingenbuurt,36.18747724,150989.457,0.3960134688,0.001,0.127
Ookmeer,36.03508071,725539.991,0.5927988242,0.001,0.01
Osdorper Bovenpolder,32.41447588,2603296.074,0.6203749815,0.001,0.003
Osdorpplein e.o.,35.28482985,412418.118,0.1956102565,0.001,0.038
Buitenveldert Zuidoost,34.35094584,643484.429,0.561605977,0.001,0.0
Geuzenhofbuurt,35.28041814,93692.579,0.5309736519,0.0,0.023
Petroleumhaven,31.79865309,3217690.039,0.1744695983,0.0,0.02
Westhaven Noord,35.40245,5697030.172,0.1335434807,0.0,0.001
Amerikahaven,33.97574416,10122848.7,0.1711572069,0.0,0.005
KNSM-eiland,24.0373948,1036715.31,-0.1905775735,0.0,0.014
Architectenbuurt,33.66045813,142192.806,0.3015438355,0.0,0.001
Zeeburgereiland Zuidwest,30.4690969,221997.241,0.3503083386,0.0,0.187
Schinkelbuurt Zuid,36.42061354,238352.572,0.2769190706,0.0,0.043
Willemsparkbuurt Noord,35.43122735,189295.585,0.4490615612,0.0,0.051
Cornelis Douwesterrein,34.20677086,1389814.105,0.1269378639,0.0,0.081
Venserpolder West,35.83652889,498535.522,0.49161026,0.0,0.0
Huntum,35.27966169,119202.14,0.5805887685,0.0,0.001
De Wittenbuurt Zuid,36.56501213,46322.193,0.2971080637,0.0,0.032
Bosleeuw,38.62976214,342762.352,0.3658147571,0.0,0.0
Spaarndammerbuurt Midden,37.10118502,57352.714,0.3982251659,0.0,0.054
Landlust Zuid,37.3357484,216823.523,0.4009563079,0.0,0.012
Erasmusparkbuurt Oost,36.89188703,90747.107,0.3678013071,0.0,0.033
Landlust Noord,38.23110509,98054.121,0.4061500335,0.0,0.001
Robert Scottbuurt West,37.23137741,148599.708,0.3354415713,0.0,0.004
Robert Scottbuurt Oost,37.03684934,68826.088,0.3326912717,0.0,0.004
Trompbuurt,38.06625768,123184.694,0.3896075673,0.0,0.294
Pieter van der Doesbuurt,37.52508807,74926.71,0.3535680208,0.0,0.028
Jan Maijenbuurt,39.22104176,78388.174,0.3681077827,0.0,0.011
Orteliusbuurt Noord,38.88665318,42655.847,0.3689973107,0.0,0.428
Orteliusbuurt Midden,38.36235549,60936.035,0.4025173152,0.0,0.122
Marcanti,35.10443594,71850.228,0.4091012964,0.0,0.15
Nieuwe Kerk e.o.,38.9126826,84225.246,0.08681075885,0.0,1.731
Begijnhofbuurt,38.62754464,70633.291,0.1509680977,0.0,1.668
Vondelparkbuurt West,36.56988872,102656.399,0.3204133054,0.0,0.03
Gerard Doubuurt,37.28838602,106403.199,0.3095013573,0.0,0.037
Sarphatiparkbuurt,37.06944575,227601.054,0.378524487,0.0,0.171
Van der Helstpleinbuurt,37.76481615,136294.163,0.331394529,0.0,0.01
Burgemeester Tellegenbuurt Oost,37.63556014,121460.6,0.3977546267,0.0,0.005
Burgemeester Tellegenbuurt West,36.54648271,102312.675,0.3813237513,0.0,0.247
Parooldriehoek,36.08848661,69396.272,0.478557385,0.0,6.1
Oosterparkbuurt Zuidoost,35.95789177,157864.711,0.3981087793,0.0,0.029
Oosterparkbuurt Zuidwest,37.67487321,121898.543,0.3800698576,0.0,0.037
Dapperbuurt Zuid,36.68569907,174253.664,0.321942275,0.0,0.012
Noordwestkwadrant Indische buurt Zuid,37.61421632,145652.848,0.3726959544,0.0,0.0
Concertgebouwbuurt,37.33821626,132044.18,0.3096784302,0.0,0.035
Cornelis Schuytbuurt,36.20782517,194829.273,0.3961213696,0.0,0.018
Minervabuurt Noord,36.41352435,144163.247,0.46084449,0.0,0.298
Minervabuurt Midden,37.90733361,150409.778,0.3858432002,0.0,0.016
Strandeiland,34.46233195,15066.136,0.06389894433,0.0,0.107
Middeneiland Zuidoost,33.62409419,2260.401,0.06555715938,0.0,
Middeneiland Zuidwest,34.32870144,59371.163,0.1021252662,0.0,0.006
Buiteneiland,23.03842135,44945.135,0.7195223923,0.0,
Scheldebuurt West,36.70168537,255654.962,0.3974682825,0.0,0.006
Scheldebuurt Midden,36.3841746,160240.551,0.4096365771,0.0,0.4
Scheldebuurt Oost,36.61646816,140585.757,0.4238628144,0.0,0.036
Veluwebuurt,36.28390053,130891.358,0.5431678274,0.0,0.251
IJselbuurt West,36.19759266,133230.637,0.4422427812,0.0,0.269
Rijnbuurt West,37.22224625,79399.691,0.4085644024,0.0,0.044
Bloemenbuurt Zuid,35.81804788,371083.998,0.4980960715,0.0,0.011
Tuindorp Nieuwendam West,35.17706449,119806.234,0.4116018969,0.0,0.129
Tuindorp Nieuwendam Oost,33.65503783,350834.779,0.4785471344,0.0,0.024
Blauwe Zand,36.97536483,173023.45,0.3325827188,0.0,0.075
Buiksloterdijk West,33.74744013,26461.097,0.5956322911,0.0,0.15
Buiksloterdijk Oost,33.37733407,26850.042,0.5415814545,0.0,0.007
Twiske West,35.05617875,419206.504,0.4460786776,0.0,0.21
Molenwijk,33.55387893,303385.755,0.6300685314,0.0,0.0
Circus/Kermisbuurt,35.13426537,159035.046,0.4721254722,0.0,0.062
Kadoelen,32.92998346,1305562.29,0.5915014462,0.0,0.0
Twiske Oost,35.22534608,190682.497,0.4632569718,0.0,0.071
Baanakkerspark Noord,31.6697101,118451.377,0.7218494552,0.0,0.007
Baanakkerspark Zuid,30.42547128,163140.085,0.7620509941,0.0,0.005
Werengouw Midden,34.85605346,375744.565,0.4833562721,0.0,0.002
Markengouw Midden,35.65684789,405280.585,0.4865051581,0.0,0.169
Markengouw Zuid,34.33522666,226510.791,0.5384394526,0.0,0.113
Werengouw Zuid,32.53895981,220962.73,0.5738586653,0.0,0.122
Rode Kruisbuurt,36.67890074,156343.805,0.4853595734,0.0,0.02
Loenermark,35.73713296,171077.605,0.433649651,0.0,0.235
Buikslotermeerplein,37.6617091,234464.594,0.3133905937,0.0,0.115
Plan van Gool,33.73661299,282611.173,0.6633749705,0.0,0.039
De Kleine Wereld,35.39987454,237710.376,0.5417206863,0.0,0.241
Buikslotermeer Noord,33.35264137,471480.819,0.6040567997,0.0,0.047
Banne Zuidwest,34.67411095,372908.879,0.5149810156,0.0,0.043
Banne Zuidoost,36.02139934,525551.067,0.4793195154,0.0,0.023
Banne Noordwest,33.3541901,340886.502,0.5940207867,0.0,0.017
Banne Noordoost,33.58551287,456132.88,0.5637578639,0.0,0.046
Marjoleinterrein,36.50056517,34762.076,0.5006084999,0.0,0.065
Schellingwoude Noord,31.11269755,368507.989,0.6653397681,0.0,0.0
Zwarte Gouw,29.59167114,1597079.786,0.7106620213,0.0,0.003
Ransdorp,27.96112108,2272411.472,0.5595713663,0.0,0.001
Holysloot,27.95339534,9279794.71,0.6608915154,0.0,0.006
Zunderdorp,29.92756965,8865858.93,0.6990498876,0.0,0.004
Noorderstrook West,31.42679988,1017787.312,0.6679869959,0.0,0.0
Noorderstrook Oost,33.08059707,479351.87,0.6302254741,0.0,0.018
Nintemanterrein,34.90746576,38994.965,0.5541050003,0.0,1.103
Elzenhagen Zuid,36.78506755,312632.785,0.3411333987,0.0,0.034
Elzenhagen Noord,35.30235889,509194.96,0.4328437691,0.0,0.0
Buurt 5 Zuid,36.79353469,320631.217,0.3905851789,0.0,0.011
Belgi��plein e.o.,38.88536341,82984.963,0.3454730179,0.0,0.431
Rechte H-buurt,35.1372071,196247.068,0.5542433253,0.0,0.0
K-buurt Midden,36.3388984,160321.699,0.4102769426,0.0,0.105
